Data;21086 - Inadimplência da carteira de crédito com recursos livres - Pessoas jurídicas - Total - %;21088 - Inadimplência da carteira de crédito com recursos livres - Pessoas jurídicas - Desconto de cheques - %;21090 - Inadimplência da carteira de crédito com recursos livres - Pessoas jurídicas - Capital de giro com prazo de até 365 dias - %;21091 - Inadimplência da carteira de crédito com recursos livres - Pessoas jurídicas - Capital de giro com prazo superior a 365 dias - %;21092 - Inadimplência da carteira de crédito com recursos livres - Pessoas jurídicas - Capital de giro rotativo - %;21093 - Inadimplência da carteira de crédito com recursos livres - Pessoas jurídicas - Capital de giro total - %;21094 - Inadimplência da carteira de crédito com recursos livres - Pessoas jurídicas - Conta garantida - %;21095 - Inadimplência da carteira de crédito com recursos livres - Pessoas jurídicas - Cheque especial - %;21106 - Inadimplência da carteira de crédito com recursos livres - Pessoas jurídicas - Cartão de crédito total - %;21111 - Inadimplência da carteira de crédito com recursos livres - Pessoas jurídicas - Outros créditos livres - %
10/2014;3,60 ;3,09 ;2,85 ;4,44 ;6,81 ;4,44 ;1,49 ;14,78 ;13,89 ;11,14
11/2014;3,45 ;3,04 ;2,51 ;4,23 ;6,85 ;4,24 ;1,45 ;13,90 ;14,51 ;10,32
12/2014;3,33 ;3,12 ;2,60 ;4,05 ;6,34 ;4,07 ;1,42 ;13,54 ;13,89 ;10,31
01/2015;3,48 ;3,25 ;2,52 ;4,10 ;6,46 ;4,10 ;1,86 ;14,66 ;15,49 ;10,37
02/2015;3,49 ;3,24 ;2,48 ;4,05 ;6,49 ;4,07 ;2,07 ;14,21 ;15,30 ;10,84
03/2015;3,60 ;3,41 ;3,24 ;4,27 ;6,49 ;4,34 ;2,01 ;14,33 ;13,51 ;10,07
04/2015;3,87 ;3,44 ;5,09 ;4,36 ;6,75 ;4,71 ;1,98 ;14,73 ;15,53 ;11,03
05/2015;3,92 ;3,45 ;4,93 ;4,28 ;7,20 ;4,67 ;2,03 ;16,26 ;16,15 ;11,78
06/2015;3,88 ;3,61 ;6,16 ;4,21 ;7,03 ;4,78 ;2,18 ;16,62 ;15,08 ;10,32
07/2015;4,10 ;3,71 ;6,33 ;4,25 ;7,54 ;4,88 ;2,66 ;18,20 ;15,96 ;11,81
08/2015;4,22 ;3,88 ;6,40 ;4,43 ;7,66 ;5,03 ;2,52 ;18,65 ;16,70 ;12,14
09/2015;4,11 ;4,03 ;4,06 ;4,52 ;7,73 ;4,76 ;3,02 ;19,41 ;15,86 ;12,69
10/2015;4,26 ;4,22 ;3,33 ;4,64 ;8,11 ;4,79 ;3,07 ;19,49 ;16,40 ;13,89
11/2015;4,49 ;4,36 ;4,06 ;4,78 ;8,49 ;5,04 ;3,25 ;19,01 ;17,67 ;14,86
12/2015;4,42 ;4,34 ;4,09 ;4,63 ;7,95 ;4,88 ;3,39 ;29,43 ;16,34 ;13,14
01/2016;4,64 ;4,58 ;4,31 ;4,87 ;8,14 ;5,11 ;3,51 ;27,30 ;19,05 ;14,24
02/2016;4,74 ;4,94 ;4,41 ;5,04 ;8,52 ;5,29 ;3,36 ;20,82 ;18,34 ;15,35
03/2016;4,85 ;5,17 ;4,14 ;5,26 ;8,92 ;5,45 ;3,37 ;21,16 ;17,99 ;15,42
04/2016;5,04 ;5,16 ;4,78 ;5,58 ;9,54 ;5,83 ;2,81 ;18,16 ;18,28 ;16,35
05/2016;5,25 ;5,40 ;4,62 ;5,86 ;10,10 ;6,08 ;3,07 ;19,69 ;18,47 ;17,46
06/2016;5,07 ;5,28 ;4,95 ;5,57 ;9,66 ;5,84 ;3,21 ;19,42 ;17,96 ;15,96
07/2016;5,17 ;5,22 ;4,26 ;5,49 ;10,39 ;5,74 ;3,63 ;20,00 ;18,52 ;17,22
08/2016;5,28 ;5,46 ;4,93 ;5,61 ;11,03 ;5,97 ;3,44 ;21,29 ;17,50 ;18,39
09/2016;5,29 ;5,37 ;4,84 ;5,60 ;11,32 ;5,97 ;3,41 ;20,25 ;16,90 ;18,22
10/2016;5,40 ;5,38 ;4,60 ;5,58 ;12,38 ;5,98 ;3,24 ;20,16 ;17,77 ;19,69
11/2016;5,37 ;5,28 ;4,40 ;5,49 ;13,40 ;5,93 ;2,88 ;19,52 ;17,54 ;20,20
12/2016;5,17 ;4,96 ;4,14 ;5,51 ;12,82 ;5,85 ;2,92 ;21,70 ;17,24 ;18,83
01/2017;5,30 ;5,07 ;4,89 ;5,44 ;13,09 ;5,88 ;2,81 ;19,93 ;17,43 ;19,29
02/2017;5,19 ;4,72 ;4,76 ;5,12 ;13,14 ;5,59 ;3,36 ;19,06 ;16,27 ;19,65
03/2017;5,52 ;4,71 ;5,56 ;6,27 ;13,36 ;6,61 ;2,85 ;18,98 ;10,70 ;20,52
04/2017;5,60 ;4,55 ;5,08 ;6,35 ;14,99 ;6,70 ;2,70 ;17,37 ;11,46 ;21,85
05/2017;5,94 ;4,50 ;6,11 ;6,80 ;15,67 ;7,22 ;2,92 ;18,64 ;11,71 ;22,73
06/2017;5,30 ;4,28 ;5,80 ;6,11 ;14,82 ;6,56 ;2,86 ;17,89 ;10,21 ;20,29
07/2017;5,49 ;3,99 ;5,75 ;6,26 ;14,67 ;6,65 ;2,74 ;17,78 ;16,01 ;20,69
08/2017;5,46 ;3,79 ;5,79 ;6,37 ;14,57 ;6,72 ;2,98 ;18,98 ;13,65 ;20,66
09/2017;5,16 ;3,37 ;5,58 ;6,29 ;13,85 ;6,58 ;2,58 ;17,53 ;13,22 ;19,72
10/2017;5,19 ;3,18 ;5,34 ;6,48 ;13,02 ;6,67 ;2,48 ;17,18 ;12,76 ;19,70
11/2017;5,08 ;2,80 ;6,80 ;6,28 ;11,88 ;6,61 ;2,26 ;15,74 ;11,91 ;19,15
12/2017;4,52 ;2,49 ;6,88 ;5,98 ;9,75 ;6,27 ;2,17 ;17,37 ;10,07 ;15,30
01/2018;4,81 ;2,46 ;6,55 ;6,35 ;9,47 ;6,52 ;2,06 ;16,63 ;10,67 ;16,53
02/2018;4,78 ;2,29 ;7,95 ;6,57 ;8,75 ;6,84 ;1,88 ;14,59 ;10,08 ;16,06
03/2018;4,42 ;2,12 ;6,91 ;6,34 ;8,21 ;6,49 ;1,91 ;15,40 ;9,23 ;14,46
04/2018;4,14 ;2,11 ;4,92 ;5,76 ;7,61 ;5,74 ;1,92 ;14,70 ;9,02 ;15,10
05/2018;4,07 ;2,18 ;5,07 ;5,69 ;7,29 ;5,69 ;2,07 ;15,05 ;8,67 ;15,48
06/2018;3,76 ;2,18 ;5,12 ;5,30 ;6,44 ;5,33 ;1,73 ;14,99 ;8,46 ;14,16
07/2018;3,41 ;2,23 ;5,45 ;4,29 ;6,02 ;4,49 ;1,79 ;15,29 ;8,28 ;13,80
08/2018;3,32 ;2,25 ;5,65 ;4,30 ;5,58 ;4,50 ;1,90 ;16,30 ;7,72 ;13,47
09/2018;3,10 ;2,16 ;6,07 ;3,81 ;5,21 ;4,12 ;1,82 ;15,35 ;7,16 ;12,78
10/2018;3,08 ;2,14 ;4,22 ;3,95 ;4,96 ;4,03 ;1,81 ;16,07 ;7,15 ;12,38
11/2018;2,98 ;2,06 ;4,79 ;3,86 ;3,92 ;3,97 ;1,57 ;15,00 ;6,72 ;11,68
12/2018;2,73 ;1,87 ;3,89 ;3,76 ;3,40 ;3,76 ;1,62 ;16,75 ;6,28 ;10,36
01/2019;2,95 ;1,94 ;5,28 ;3,87 ;3,36 ;4,00 ;1,59 ;15,02 ;6,46 ;11,01
02/2019;2,85 ;1,74 ;4,93 ;3,67 ;3,27 ;3,79 ;1,52 ;13,74 ;6,07 ;11,15
03/2019;2,86 ;1,73 ;4,75 ;3,68 ;3,13 ;3,77 ;1,37 ;13,61 ;5,75 ;11,62
04/2019;2,77 ;1,70 ;2,17 ;3,65 ;3,05 ;3,45 ;1,55 ;13,63 ;5,99 ;11,29
05/2019;2,72 ;1,64 ;2,34 ;3,52 ;3,00 ;3,37 ;1,53 ;14,92 ;5,53 ;12,13
06/2019;2,73 ;1,64 ;1,78 ;3,49 ;3,44 ;3,30 ;1,46 ;13,67 ;5,47 ;12,79
07/2019;2,92 ;2,62 ;1,82 ;3,83 ;3,35 ;3,60 ;1,62 ;14,51 ;5,37 ;12,88
08/2019;2,65 ;1,66 ;2,20 ;3,51 ;3,26 ;3,36 ;1,55 ;14,59 ;5,44 ;10,71
09/2019;2,55 ;1,82 ;2,27 ;3,47 ;3,20 ;3,33 ;1,55 ;14,53 ;5,34 ;10,15
10/2019;2,50 ;1,94 ;1,97 ;3,27 ;3,16 ;3,14 ;1,54 ;15,87 ;5,52 ;9,17
11/2019;2,44 ;1,94 ;2,24 ;3,18 ;3,08 ;3,09 ;1,46 ;14,85 ;5,69 ;8,84
12/2019;2,13 ;1,91 ;2,05 ;2,81 ;2,79 ;2,73 ;1,42 ;16,71 ;5,06 ;7,19
01/2020;2,31 ;2,02 ;3,41 ;2,84 ;2,84 ;2,90 ;1,45 ;15,45 ;4,82 ;7,96
02/2020;2,27 ;1,99 ;3,21 ;2,89 ;2,96 ;2,93 ;1,37 ;14,44 ;5,97 ;7,40
03/2020;2,34 ;2,11 ;3,41 ;3,34 ;3,00 ;3,33 ;1,44 ;14,94 ;5,55 ;8,10
04/2020;2,38 ;2,46 ;1,93 ;3,41 ;3,04 ;3,14 ;1,61 ;16,78 ;7,09 ;8,83
05/2020;2,38 ;2,71 ;1,50 ;3,36 ;3,03 ;2,99 ;1,81 ;19,27 ;8,13 ;8,99
06/2020;1,97 ;2,84 ;0,94 ;2,60 ;2,47 ;2,30 ;1,82 ;20,98 ;5,56 ;7,67
07/2020;1,85 ;3,04 ;0,78 ;2,21 ;2,42 ;1,97 ;2,08 ;22,77 ;4,83 ;7,06
08/2020;1,67 ;2,96 ;0,80 ;1,79 ;2,51 ;1,65 ;2,06 ;21,96 ;5,38 ;6,07
09/2020;1,59 ;2,94 ;0,91 ;1,70 ;1,80 ;1,57 ;2,14 ;22,76 ;4,78 ;5,93
10/2020;1,53 ;2,81 ;1,04 ;1,58 ;1,66 ;1,49 ;1,88 ;20,58 ;4,47 ;5,47
11/2020;1,53 ;2,58 ;1,21 ;1,50 ;1,84 ;1,47 ;1,84 ;18,34 ;3,55 ;5,87
12/2020;1,45 ;2,35 ;0,92 ;1,52 ;1,91 ;1,45 ;1,97 ;20,32 ;3,71 ;5,53
01/2021;1,59 ;2,15 ;0,93 ;1,80 ;1,90 ;1,67 ;1,72 ;16,48 ;4,03 ;5,75
02/2021;1,57 ;1,86 ;0,94 ;1,86 ;1,83 ;1,73 ;1,56 ;14,57 ;3,89 ;5,83
